Name	context	language	repository	file	url	split	grammar pattern	Count	Christian Grammar Pattern	Syreen Grammar Pattern	Eman Grammar Pattern	Mahie Grammar Pattern
forBackprop	PARAMETER	Java	deeplearning4j	deeplearning4j/deeplearning4j-nn/src/main/java/org/deeplearning4j/nn/layers/variational/VariationalAutoencoder.java	https://github.com/deeplearning4j/deeplearning4j/blob/854c3b264d6d392ecd1b09c386d919e3c74cb425/deeplearning4j/deeplearning4j-nn/src/main/java/org/deeplearning4j/nn/layers/variational/VariationalAutoencoder.java	for Backprop	P N	70	P N	P N	CJ N	P N
force_fog_off	ATTRIBUTE	C++	freeminer	src/client/game.cpp	https://github.com/freeminer/freeminer/blob/86caf1cfbdf3d06f53981adaedc6f1eba7448486/src/client/game.cpp	force fog off	V N VM	2	V N VM	V N VM	V N VM	V N VM
force_nd_im2col_	ATTRIBUTE	C++	caffe	include/caffe/layers/base_conv_layer.hpp	https://github.com/BVLC/caffe/blob/9b891540183ddc834a02b2bd81b31afae71b2153/include/caffe/layers/base_conv_layer.hpp	force nd im 2 col	V NM N P N	5	V NM N P N	V NM N D N	V NM N P N	V NM N D N
forClass	FUNCTION	Java	drill	common/src/main/java/org/apache/drill/common/scanner/persistence/TypeDescriptor.java	https://github.com/apache/drill/blob/f558815feb6560ebbc3d1fcf502acee8fea1e555/common/src/main/java/org/apache/drill/common/scanner/persistence/TypeDescriptor.java	for Class	P N	70	P N	P N	P N	P N
forClient	FUNCTION	Java	drill	common/src/main/java/org/apache/drill/common/config/DrillConfig.java	https://github.com/apache/drill/blob/f558815feb6560ebbc3d1fcf502acee8fea1e555/common/src/main/java/org/apache/drill/common/config/DrillConfig.java	for Client	P N	70	P N	P N	CJ N	P N
forImplementation	FUNCTION	Java	immutables	value-processor/src/org/immutables/value/processor/meta/Visibility.java	https://github.com/immutables/immutables/blob/28ba97e9f3075902e279c1cde3e16be01e365afb/value-processor/src/org/immutables/value/processor/meta/Visibility.java	for Implementation	P N	70	P N	P N	CJ N	P N
fornum	FUNCTION	C	freeminer	lib/lua/src/lparser.c	https://github.com/freeminer/freeminer/blob/86caf1cfbdf3d06f53981adaedc6f1eba7448486/lib/lua/src/lparser.c	for num	NM N	103	NM N	P N	CJ N	P N
forNumber	FUNCTION	Java	drill	protocol/src/main/java/org/apache/drill/common/types/TypeProtos.java	https://github.com/apache/drill/blob/f558815feb6560ebbc3d1fcf502acee8fea1e555/protocol/src/main/java/org/apache/drill/common/types/TypeProtos.java	for Number	P N	70	P N	P N	CJ N	P N
forPackage	FUNCTION	Java	immutables	value-processor/src/org/immutables/value/processor/meta/Proto.java	https://github.com/immutables/immutables/blob/28ba97e9f3075902e279c1cde3e16be01e365afb/value-processor/src/org/immutables/value/processor/meta/Proto.java	for Package	NM N	103	NM N	P N	CJ N	NM N
forResource	FUNCTION	Java	drill	common/src/main/java/org/apache/drill/common/scanner/ClassPathScanner.java	https://github.com/apache/drill/blob/f558815feb6560ebbc3d1fcf502acee8fea1e555/common/src/main/java/org/apache/drill/common/scanner/ClassPathScanner.java	for Resource	P N	70	P N	P N	CJ N	P N
forSocks4Proxy	FUNCTION	Java	Smack	smack-core/src/main/java/org/jivesoftware/smack/proxy/ProxyInfo.java	https://github.com/igniterealtime/Smack/blob/19b20fefeca69cccc3637e01ec2f151a054a3351/smack-core/src/main/java/org/jivesoftware/smack/proxy/ProxyInfo.java	for Socks4 Proxy	P NM N	31	P NM N	P NM N	P NM N	P NM N
forUnknownSchema	PARAMETER	Java	drill	exec/java-exec/src/main/java/org/apache/drill/exec/store/easy/json/loader/FieldDefn.java	https://github.com/apache/drill/blob/f558815feb6560ebbc3d1fcf502acee8fea1e555/exec/java-exec/src/main/java/org/apache/drill/exec/store/easy/json/loader/FieldDefn.java	for Unknown Schema	P NM N	31	P NM N	P NM N	CJ NM N	P NM N
forward_time_per_layer	DECLARATION	C++	caffe	tools/caffe.cpp	https://github.com/BVLC/caffe/blob/9b891540183ddc834a02b2bd81b31afae71b2153/tools/caffe.cpp	forward time per layer	NM N P N	9	NM N P N	NM N P N	NM N P N	NM N P N
fout	ATTRIBUTE	C++	freeminer	src/script/common/c_packer.cpp	https://github.com/freeminer/freeminer/blob/86caf1cfbdf3d06f53981adaedc6f1eba7448486/src/script/common/c_packer.cpp	f out	N NM	8	N NM	N NM	N NM	N NM
fp_irand224	FUNCTION	C	rigraph	src/vendor/cigraph/vendor/glpk/mpl/mpl3.c	https://github.com/igraph/rigraph/blob/cae1f110975e38353a8fbbe16d4c7a008fbd9bea/src/vendor/cigraph/vendor/glpk/mpl/mpl3.c	fp irand 224	NM N D	33	NM N D	NM N D	NM N D	NM N D
fp_on	ATTRIBUTE	C++	rigraph	src/core/isomorphism/bliss/graph.cc	https://github.com/igraph/rigraph/blob/cae1f110975e38353a8fbbe16d4c7a008fbd9bea/src/core/isomorphism/bliss/graph.cc	fp on	N P	8	N P	N P	N P	N P
fprint_all_protocols_for_layer_types	FUNCTION	C	wireshark	ui/decode_as_utils.c	https://github.com/wireshark/wireshark/blob/13f21ebd59317f59b91ce7a48a234ef48989ccf0/ui/decode_as_utils.c	fprint all protocols for layer types	V DT NPL P NM NPL	1	V DT NPL P NM NPL	V DT NPL P NM NPL	V DT NPL CJ NM NPL	V DT NPL P NM NPL
friend_in_close	FUNCTION	C	toxcore	toxcore/group.c	https://github.com/irungentoo/toxcore/blob/bf69b54f64003d160d759068f4816b2d9b2e1e21/toxcore/group.c	friend in close	N P N	12	N P N	N P N	N P N	N P N
from	PARAMETER	C	meta	include/meta/sequence/markov_model.h	https://github.com/meta-toolkit/meta/blob/c7019401185cdfa15e1193aad821894c35a83e3f/include/meta/sequence/markov_model.h	from	P	10	P	P	P	P
from_context	PARAMETER	C	panda3d	panda/src/pipeline/threadSimpleManager.h	https://github.com/panda3d/panda3d/blob/07f9f9d89722a82234e0d111e61b7ff98e88e2db/panda/src/pipeline/threadSimpleManager.h	from context	P N	70	P N	P N	P N	P N
from_id	PARAMETER	C	toxcore	toxcore/DHT.c	https://github.com/irungentoo/toxcore/blob/bf69b54f64003d160d759068f4816b2d9b2e1e21/toxcore/DHT.c	from id	P N	70	P N	P N	P N	P N
fromBytes	FUNCTION	Java	Singularity	SingularityService/src/main/java/com/hubspot/singularity/data/transcoders/CompressingTranscoder.java	https://github.com/HubSpot/Singularity/blob/15688f486fc9286878eff40b51789c88bd6899d5/SingularityService/src/main/java/com/hubspot/singularity/data/transcoders/CompressingTranscoder.java	from Bytes	P NPL	5	P NPL	P NPL	P NPL	P NPL
fromDockerConfig	ATTRIBUTE	Java	Singularity	SingularityExecutor/src/main/java/com/hubspot/singularity/executor/config/SingularityExecutorDockerAuthConfig.java	https://github.com/HubSpot/Singularity/blob/15688f486fc9286878eff40b51789c88bd6899d5/SingularityExecutor/src/main/java/com/hubspot/singularity/executor/config/SingularityExecutorDockerAuthConfig.java	from Docker Config	P NM N	31	P NM N	P NM N	P NM N	P NM N
fromEmail	PARAMETER	Java	Openfire	xmppserver/src/main/java/org/jivesoftware/util/EmailService.java	https://github.com/igniterealtime/Openfire/blob/25ed0d66f9c56f423f9408920ce7d8734dcaf84d/xmppserver/src/main/java/org/jivesoftware/util/EmailService.java	from Email	P N	70	P N	P N	P N	P N
fromHeader	ATTRIBUTE	Java	Spark	plugins/sip/src/main/java/net/java/sipmack/sip/SipManager.java	https://github.com/igniterealtime/Spark/blob/ca028f3a818b94c00f2f600933109087d84fb0b9/plugins/sip/src/main/java/net/java/sipmack/sip/SipManager.java	from Header	P N	70	P N	P N	P N	P N
fromInclusive	PARAMETER	Java	guava	guava/src/com/google/common/collect/AbstractMapBasedMultimap.java	https://github.com/google/guava/blob/551f92130cc0442870569b89820e0b432a8ff8f7/guava/src/com/google/common/collect/AbstractMapBasedMultimap.java	from Inclusive	P N	70	P N	P N	P N	P N
fromIterator	CLASS	Java	guava	android/guava/src/com/google/common/collect/Iterators.java	https://github.com/google/guava/blob/551f92130cc0442870569b89820e0b432a8ff8f7/android/guava/src/com/google/common/collect/Iterators.java	from Iterator	P N	70	P N	P N	P N	P N
fromJID	PARAMETER	Java	Openfire	xmppserver/src/main/java/org/jivesoftware/openfire/muc/MUCEventListener.java	https://github.com/igniterealtime/Openfire/blob/25ed0d66f9c56f423f9408920ce7d8734dcaf84d/xmppserver/src/main/java/org/jivesoftware/openfire/muc/MUCEventListener.java	from JID	P N	70	P N	P N	P N	P N
fromKey	PARAMETER	Java	guava	android/guava/src/com/google/common/collect/Maps.java	https://github.com/google/guava/blob/551f92130cc0442870569b89820e0b432a8ff8f7/android/guava/src/com/google/common/collect/Maps.java	from Key	P N	70	P N	P N	P N	P N
fromRoomFilter	ATTRIBUTE	Java	Smack	smack-experimental/src/main/java/org/jivesoftware/smackx/muclight/MultiUserChatLight.java	https://github.com/igniterealtime/Smack/blob/19b20fefeca69cccc3637e01ec2f151a054a3351/smack-experimental/src/main/java/org/jivesoftware/smackx/muclight/MultiUserChatLight.java	from Room Filter	P NM N	31	P NM N	P NM N	P NM N	P NM N
fromServer	PARAMETER	Java	Openfire	xmppserver/src/main/java/org/jivesoftware/openfire/spi/RoutingTableImpl.java	https://github.com/igniterealtime/Openfire/blob/25ed0d66f9c56f423f9408920ce7d8734dcaf84d/xmppserver/src/main/java/org/jivesoftware/openfire/spi/RoutingTableImpl.java	from Server	P N	70	P N	P N	P N	P N
fromSV4	PARAMETER	Java	drill	exec/java-exec/src/main/java/org/apache/drill/exec/record/selection/SelectionVector4.java	https://github.com/apache/drill/blob/f558815feb6560ebbc3d1fcf502acee8fea1e555/exec/java-exec/src/main/java/org/apache/drill/exec/record/selection/SelectionVector4.java	from SV 4	P N D	1	P N D	P N D	P N D	P N D
fromY	PARAMETER	Java	Spark	plugins/roar/src/main/java/org/jivesoftware/spark/roar/gui/SparkToaster.java	https://github.com/igniterealtime/Spark/blob/ca028f3a818b94c00f2f600933109087d84fb0b9/plugins/roar/src/main/java/org/jivesoftware/spark/roar/gui/SparkToaster.java	from Y	P N	70	P N	P N	P N	P N
fts5MultiIterDoCompare	FUNCTION	C	toggldesktop	third_party/poco/Data/SQLite/src/sqlite3.c	https://github.com/toggl-open-source/toggldesktop/blob/013038304ee8e9154db4a45fb642716956cf153b/third_party/poco/Data/SQLite/src/sqlite3.c	fts5 MultiIter Do Compare	PRE PRE V V	1	PRE PRE V V	PRE PRE V V	PRE PRE V V	NM N V V
fts5SegIterClear	FUNCTION	C	ccv	lib/3rdparty/sqlite3/sqlite3.c	https://github.com/liuliu/ccv/blob/3eb1664f88e04515bf6861663c4f96d6279a47f5/lib/3rdparty/sqlite3/sqlite3.c	fts5 Seg Iter Clear	PRE NM N V	2	PRE NM N V	PRE NM N V	PRE NM N V	NM NM N V
fts5yypParser	PARAMETER	C	ccv	lib/3rdparty/sqlite3/sqlite3.c	https://github.com/liuliu/ccv/blob/3eb1664f88e04515bf6861663c4f96d6279a47f5/lib/3rdparty/sqlite3/sqlite3.c	fts5 yyp Parser	PRE NM N	11	PRE NM N	PRE NM N	PRE NM N	NM NM N
function_and_data	DECLARATION	C	weechat	src/plugins/plugin-script-api.c	https://github.com/weechat/weechat/blob/13241cdca5b39415d2a0f9e1b55a79153d14ba07/src/plugins/plugin-script-api.c	function and data	N CJ N	6	N CJ N	N CJ N	N CJ N	N CJ N
g_curand_availability_logged	DECLARATION	C++	caffe	src/caffe/common.cpp	https://github.com/BVLC/caffe/blob/9b891540183ddc834a02b2bd81b31afae71b2153/src/caffe/common.cpp	g curand availability logged	PRE NM N V	2	PRE NM N V	PRE NM N V	PRE NM N V	PRE NM N V
generate_key_or_iv	FUNCTION	C	wireshark	epan/dissectors/asn1/pkcs12/packet-pkcs12-template.c	https://github.com/wireshark/wireshark/blob/13f21ebd59317f59b91ce7a48a234ef48989ccf0/epan/dissectors/asn1/pkcs12/packet-pkcs12-template.c	generate key or iv	V N CJ N	2	V N CJ N	V N CJ N	V N CJ N	V N CJ N
GenerateProlog1	FUNCTION	C++	facebook-repo-ds2	Tools/RegsGen2/main.cpp	https://github.com/fakeNetflix/facebook-repo-ds2/blob/eaf83c59b8fff11cc4c218da7b78a983754727ec/Tools/RegsGen2/main.cpp	Generate Prolog 1	V N D	8	V N D	V N D	V N D	V N D
get_a1	FUNCTION	C++	panda3d	panda/src/downloader/httpDigestAuthorization.cxx	https://github.com/panda3d/panda3d/blob/07f9f9d89722a82234e0d111e61b7ff98e88e2db/panda/src/downloader/httpDigestAuthorization.cxx	get a 1	V N D	8	V N D	V N D	V N D	V N D
get_data2d	FUNCTION	C++	panda3d	panda/src/gobj/geomVertexColumn.cxx	https://github.com/panda3d/panda3d/blob/07f9f9d89722a82234e0d111e61b7ff98e88e2db/panda/src/gobj/geomVertexColumn.cxx	get data 2d	V N NM	4	V N NM	V N NM	V N NM	V N NM
get_data4d	FUNCTION	C++	panda3d	panda/src/gobj/geomVertexColumn.cxx	https://github.com/panda3d/panda3d/blob/07f9f9d89722a82234e0d111e61b7ff98e88e2db/panda/src/gobj/geomVertexColumn.cxx	get data 4d	V N NM	4	V N NM	V N NM	V N NM	V N NM
get_data4i	FUNCTION	C++	panda3d	panda/src/gobj/geomVertexColumn.cxx	https://github.com/panda3d/panda3d/blob/07f9f9d89722a82234e0d111e61b7ff98e88e2db/panda/src/gobj/geomVertexColumn.cxx	get data 4i	V N NM	4	V N NM	V N NM	V N NM	V N NM
get_lastmodified	FUNCTION	C++	s3fs-fuse	src/metaheader.cpp	https://github.com/s3fs-fuse/s3fs-fuse/blob/5371cd1468c84423729c334ac997f9621b797e9f/src/metaheader.cpp	get last modified	V DT N	5	V DT N	V DT N	V DT N	V DT N
get_next_comment_id	FUNCTION	C	naemon-core	src/naemon/comments.c	https://github.com/naemon/naemon-core/blob/7558c98937ffb15c040daf158f92827b1f338ba6/src/naemon/comments.c	get next comment id	V DT NM N	3	V DT NM N	V DT NM N	V DT NM N	V DT NM N
get_next_marker	FUNCTION	C++	s3fs-fuse	src/s3fs_xml.cpp	https://github.com/s3fs-fuse/s3fs-fuse/blob/5371cd1468c84423729c334ac997f9621b797e9f/src/s3fs_xml.cpp	get next marker	V DT N	5	V DT N	V DT N	V DT N	V DT N
get_position_world_on_a	FUNCTION	C++	panda3d	panda/src/bullet/bulletManifoldPoint.cxx	https://github.com/panda3d/panda3d/blob/07f9f9d89722a82234e0d111e61b7ff98e88e2db/panda/src/bullet/bulletManifoldPoint.cxx	get position world on a	V NM N P N	5	V NM N P N	V NM N P N	V NM N P N	V NM N P N
get_start_r1	FUNCTION	C++	meta	src/analyzers/filters/porter2_stemmer.cpp	https://github.com/meta-toolkit/meta/blob/c7019401185cdfa15e1193aad821894c35a83e3f/src/analyzers/filters/porter2_stemmer.cpp	get start r 1	V NM N D	3	V NM N D	V V N D	V NM N D	V NM N D
getB64Data	FUNCTION	Java	Smack	smack-openpgp/src/main/java/org/jivesoftware/smackx/ox/element/PubkeyElement.java	https://github.com/igniterealtime/Smack/blob/19b20fefeca69cccc3637e01ec2f151a054a3351/smack-openpgp/src/main/java/org/jivesoftware/smackx/ox/element/PubkeyElement.java	get B64 Data	V NM N	11	V NM N	V NM N	V NM N	V NM D N
getDecimal9FromBigDecimal	FUNCTION	Java	drill	exec/vector/src/main/java/org/apache/drill/exec/util/DecimalUtility.java	https://github.com/apache/drill/blob/f558815feb6560ebbc3d1fcf502acee8fea1e555/exec/vector/src/main/java/org/apache/drill/exec/util/DecimalUtility.java	get Decimal 9 From Big Decimal	V N D P NM N	1	V N D P NM N	V N D P NM N	V N D P NM N	V N D P NM N
getLookandfeelLabel	FUNCTION	Java	Spark	core/src/main/java/org/jivesoftware/spark/ui/themes/ThemePanel.java	https://github.com/igniterealtime/Spark/blob/ca028f3a818b94c00f2f600933109087d84fb0b9/core/src/main/java/org/jivesoftware/spark/ui/themes/ThemePanel.java	get Look and feel Label	V NM CJ NM N	1	V NM CJ NM N	V NM CJ NM N	V NM CJ NM N	V NM CJ NM N
getPart2	FUNCTION	Java	drill	protocol/src/main/java/org/apache/drill/exec/proto/UserBitShared.java	https://github.com/apache/drill/blob/f558815feb6560ebbc3d1fcf502acee8fea1e555/protocol/src/main/java/org/apache/drill/exec/proto/UserBitShared.java	get Part 2	V N D	8	V N D	V N D	V N D	V N D
getU16NoEx	FUNCTION	C++	freeminer	src/settings.cpp	https://github.com/freeminer/freeminer/blob/86caf1cfbdf3d06f53981adaedc6f1eba7448486/src/settings.cpp	get U 16 No Ex	V N D DT N	1	V N D DT N	V N D DT N	V N D DT N	V N D DT N
git_delta_read_header_fromstream	FUNCTION	C	git2r	src/libgit2/src/libgit2/delta.c	https://github.com/ropensci/git2r/blob/9c42d41c14cf83735db37ae662e2bce42c500aaa/src/libgit2/src/libgit2/delta.c	git delta read header from stream	PRE PRE V N P N	3	PRE PRE V N P N	PRE PRE V N P N	PRE PRE V N P N	PRE PRE V N P N
git_diff_commit_as_email	FUNCTION	C	git2r	src/libgit2/src/libgit2/diff.c	https://github.com/ropensci/git2r/blob/9c42d41c14cf83735db37ae662e2bce42c500aaa/src/libgit2/src/libgit2/diff.c	git diff commit as email	PRE PRE N P N	4	PRE PRE N P N	PRE PRE N P N	PRE PRE N P N	NM NM N P N
git_fs_path_to_dir	FUNCTION	C	git2r	src/libgit2/src/util/fs_path.c	https://github.com/ropensci/git2r/blob/9c42d41c14cf83735db37ae662e2bce42c500aaa/src/libgit2/src/util/fs_path.c	git fs path to dir	PRE NM N P N	1	PRE NM N P N	PRE NM N P N	PRE NM N P N	PRE NM N P N
git_index_update_all	FUNCTION	C	git2r	src/libgit2/src/libgit2/index.c	https://github.com/ropensci/git2r/blob/9c42d41c14cf83735db37ae662e2bce42c500aaa/src/libgit2/src/libgit2/index.c	git index update all	PRE PRE V DT	4	PRE PRE V DT	PRE N V DT	PRE PRE V DT	N N V DT
git_offmap_size	FUNCTION	C	git2r	src/libgit2/src/libgit2/offmap.c	https://github.com/ropensci/git2r/blob/9c42d41c14cf83735db37ae662e2bce42c500aaa/src/libgit2/src/libgit2/offmap.c	git off map size	PRE NM NM N	7	PRE NM NM N	PRE NM NM N	PRE NM NM N	PRE NM NM N
git_repository_head_detached_for_worktree	FUNCTION	C	git2r	src/libgit2/src/libgit2/repository.c	https://github.com/ropensci/git2r/blob/9c42d41c14cf83735db37ae662e2bce42c500aaa/src/libgit2/src/libgit2/repository.c	git repository head detached for work tree	PRE PRE N V P NM N	1	PRE PRE N V P NM N	PRE PRE N V P NM N	PRE PRE N V P NM N	NM NM N V P NM N
gl_M3_Inv	FUNCTION	C++	panda3d	panda/src/tinydisplay/zmath.cxx	https://github.com/panda3d/panda3d/blob/07f9f9d89722a82234e0d111e61b7ff98e88e2db/panda/src/tinydisplay/zmath.cxx	gl M 3 Inv	PRE N D N	2	PRE N D N	PRE N D N	PRE N D N	NM N D N
gnext	DECLARATION	C	naemon-core	src/naemon/xodtemplate.c	https://github.com/naemon/naemon-core/blob/7558c98937ffb15c040daf158f92827b1f338ba6/src/naemon/xodtemplate.c	g next	PRE DT	3	PRE DT	PRE DT	PRE DT	PRE DT
group_with	FUNCTION	C++	panda3d	pandatool/src/palettizer/paletteGroup.cxx	https://github.com/panda3d/panda3d/blob/07f9f9d89722a82234e0d111e61b7ff98e88e2db/pandatool/src/palettizer/paletteGroup.cxx	group with	V P	9	V P	V P	V P	V P
gsonBuilder	DECLARATION	Java	immutables	gson/src/org/immutables/gson/stream/GsonMessageBodyProvider.java	https://github.com/immutables/immutables/blob/28ba97e9f3075902e279c1cde3e16be01e365afb/gson/src/org/immutables/gson/stream/GsonMessageBodyProvider.java	gson Builder	NM N	103	NM N	NM N	NM N	NM N
gui_buffer_local_var_remove_all	FUNCTION	C	weechat	src/gui/gui-buffer.c	https://github.com/weechat/weechat/blob/13241cdca5b39415d2a0f9e1b55a79153d14ba07/src/gui/gui-buffer.c	gui buffer local var remove all	PRE PRE NM N V DT	1	PRE PRE NM N V DT	PRE N NM N V DT	PRE PRE NM N V DT	NM NM NM N V DT
gui_buffer_set_time_for_each_line	FUNCTION	C	weechat	src/gui/gui-buffer.c	https://github.com/weechat/weechat/blob/13241cdca5b39415d2a0f9e1b55a79153d14ba07/src/gui/gui-buffer.c	gui buffer set time for each line	PRE PRE V N P DT N	1	PRE PRE V N P DT N	PRE PRE V N P DT N	PRE PRE V N CJ DT N	PRE PRE V N P DT N
gui_input_search_next	FUNCTION	C	weechat	src/gui/gui-input.c	https://github.com/weechat/weechat/blob/13241cdca5b39415d2a0f9e1b55a79153d14ba07/src/gui/gui-input.c	gui input search next	PRE PRE V DT	4	PRE PRE V DT	PRE N V DT	PRE PRE V DT	NM N V DT
gui_line_has_tag_no_filter	FUNCTION	C	weechat	src/gui/gui-line.c	https://github.com/weechat/weechat/blob/13241cdca5b39415d2a0f9e1b55a79153d14ba07/src/gui/gui-line.c	gui line has tag no filter	PRE PRE V N DT N	1	PRE PRE V N DT N	PRE N V N DT N	PRE PRE V N DT N	NM N V N DT N
gui_line_mixed_free_all	FUNCTION	C	weechat	src/gui/gui-line.c	https://github.com/weechat/weechat/blob/13241cdca5b39415d2a0f9e1b55a79153d14ba07/src/gui/gui-line.c	gui line mixed free all	PRE PRE NM V DT	1	PRE PRE NM V DT	PRE N NM N DT	PRE PRE NM V DT	NM N NM V DT
gui_mouse_event_code2key	FUNCTION	C	weechat	src/gui/curses/gui-curses-mouse.c	https://github.com/weechat/weechat/blob/13241cdca5b39415d2a0f9e1b55a79153d14ba07/src/gui/curses/gui-curses-mouse.c	gui mouse event code 2 key	PRE PRE NM N P N	2	PRE PRE NM N P N	PRE PRE NM N P N	PRE PRE NM N P N	NM NM NM N D N
gui_nick_hash_sum_64	FUNCTION	C	weechat	src/gui/gui-nick.c	https://github.com/weechat/weechat/blob/13241cdca5b39415d2a0f9e1b55a79153d14ba07/src/gui/gui-nick.c	gui nick hash sum 64	PRE PRE NM N D	1	PRE PRE NM N D	PRE PRE NM N D	PRE PRE NM N D	NM NM NM N D
gw6	PARAMETER	C	ovs	lib/route-table.c	https://github.com/openvswitch/ovs/blob/f5188ff2147517612b410ed607e3843cdf4b51a6/lib/route-table.c	gw 6	N D	125	N D	N D	N D	N D
h_ifindex	ATTRIBUTE	C	ovs	lib/lldp/lldpd-structs.h	https://github.com/openvswitch/ovs/blob/f5188ff2147517612b410ed607e3843cdf4b51a6/lib/lldp/lldpd-structs.h	h if index	PRE NM N	11	PRE NM N	PRE NM N	PRE NM N	NM CJ N
h2server	DECLARATION	C++	proxygen	proxygen/httpserver/samples/hq/HQServerModule.cpp	https://github.com/facebook/proxygen/blob/5370e58851d6b363f1edbc542a0daa369ebbf303/proxygen/httpserver/samples/hq/HQServerModule.cpp	h 2 server	N D N	9	N D N	N D N	N D N	N D N
handle_send_2	FUNCTION	C	toxcore	toxcore/onion.c	https://github.com/irungentoo/toxcore/blob/bf69b54f64003d160d759068f4816b2d9b2e1e21/toxcore/onion.c	handle send 2	V N D	8	V N D	V N D	V N D	V N D
has_after_destruct	ATTRIBUTE	C	freeminer	src/nodedef.h	https://github.com/freeminer/freeminer/blob/86caf1cfbdf3d06f53981adaedc6f1eba7448486/src/nodedef.h	has after destruct	V NM N	11	V NM N	V NM N	V NM N	V NM N
has_each	DECLARATION	C++	panda3d	pandatool/src/eggprogs/eggTopstrip.cxx	https://github.com/panda3d/panda3d/blob/07f9f9d89722a82234e0d111e61b7ff98e88e2db/pandatool/src/eggprogs/eggTopstrip.cxx	has each	V DT	6	V DT	V DT	V DT	V DT
has_in_band	PARAMETER	C	ovs	ofproto/ofproto-dpif-xlate.c	https://github.com/openvswitch/ovs/blob/f5188ff2147517612b410ed607e3843cdf4b51a6/ofproto/ofproto-dpif-xlate.c	has in band	V NM N	11	V NM N	V NM N	V NM N	V NM N
has_on_activate	ATTRIBUTE	C	freeminer	src/nodedef.h	https://github.com/freeminer/freeminer/blob/86caf1cfbdf3d06f53981adaedc6f1eba7448486/src/nodedef.h	has on activate	V P V	6	V P V	V P V	V P V	V P V
has_run_at_least_once_	ATTRIBUTE	C++	caffe	include/caffe/util/benchmark.hpp	https://github.com/BVLC/caffe/blob/9b891540183ddc834a02b2bd81b31afae71b2153/include/caffe/util/benchmark.hpp	has run at least once	V V VM VM VM	1	V V VM VM VM	V V VM VM VM	V V VM VM VM	V V VM VM VM
hash_and_save	FUNCTION	C	git2r	src/libgit2/src/libgit2/indexer.c	https://github.com/ropensci/git2r/blob/9c42d41c14cf83735db37ae662e2bce42c500aaa/src/libgit2/src/libgit2/indexer.c	hash and save	V CJ V	2	V CJ V	V CJ V	V CJ V	V CJ V
Hash32Functions	CLASS	Java	drill	exec/java-exec/src/main/java/org/apache/drill/exec/expr/fn/impl/Hash32Functions.java	https://github.com/apache/drill/blob/f558815feb6560ebbc3d1fcf502acee8fea1e555/exec/java-exec/src/main/java/org/apache/drill/exec/expr/fn/impl/Hash32Functions.java	Hash 32 Functions	N D NPL	2	N D NPL	N D NPL	N D NPL	V D NPL
Hash64FunctionsWithSeed	CLASS	Java	drill	exec/java-exec/src/main/java/org/apache/drill/exec/expr/fn/impl/Hash64FunctionsWithSeed.java	https://github.com/apache/drill/blob/f558815feb6560ebbc3d1fcf502acee8fea1e555/exec/java-exec/src/main/java/org/apache/drill/exec/expr/fn/impl/Hash64FunctionsWithSeed.java	Hash 64 Functions With Seed	N D NPL P N	1	N D NPL P N	N D NPL P N	N D NPL P N	V D NPL P N
hasUpgradeTokeninConnection	DECLARATION	C++	proxygen	proxygen/lib/http/codec/HTTP1xCodec.cpp	https://github.com/facebook/proxygen/blob/5370e58851d6b363f1edbc542a0daa369ebbf303/proxygen/lib/http/codec/HTTP1xCodec.cpp	has Upgrade Token in Connection	V NM N P N	5	V NM N P N	V NM N P N	V NM N P N	V NM N P N
hbp1	DECLARATION	C	ccv	lib/nnc/cmd/compare/ccv_nnc_max_cpu_ref.c	https://github.com/liuliu/ccv/blob/3eb1664f88e04515bf6861663c4f96d6279a47f5/lib/nnc/cmd/compare/ccv_nnc_max_cpu_ref.c	hbp 1	N D	125	N D	N D	N D	N D
header_only	PARAMETER	C	wireshark	epan/dissectors/packet-dnp.c	https://github.com/wireshark/wireshark/blob/13f21ebd59317f59b91ce7a48a234ef48989ccf0/epan/dissectors/packet-dnp.c	header only	N VM	7	N VM	N VM	N VM	N VM
hide_all_switches	FUNCTION	C++	panda3d	panda/src/pgraphnodes/lodNode.cxx	https://github.com/panda3d/panda3d/blob/07f9f9d89722a82234e0d111e61b7ff98e88e2db/panda/src/pgraphnodes/lodNode.cxx	hide all switches	V DT NPL	4	V DT NPL	V DT NPL	V DT NPL	V DT NPL
hoconMapper	ATTRIBUTE	Java	drill	exec/java-exec/src/main/java/org/apache/drill/exec/store/DrillbitPluginRegistryContext.java	https://github.com/apache/drill/blob/f558815feb6560ebbc3d1fcf502acee8fea1e555/exec/java-exec/src/main/java/org/apache/drill/exec/store/DrillbitPluginRegistryContext.java	hocon Mapper	NM N	103	NM N	NM N	NM N	NM N
hosts_down	DECLARATION	C	naemon-core	src/naemon/macros.c	https://github.com/naemon/naemon-core/blob/7558c98937ffb15c040daf158f92827b1f338ba6/src/naemon/macros.c	hosts down	NPL VM	1	NPL VM	NPL VM	NPL VM	NPL VM
how	PARAMETER	C	wireshark	plugins/epan/mate/mate_util.c	https://github.com/wireshark/wireshark/blob/13f21ebd59317f59b91ce7a48a234ef48989ccf0/plugins/epan/mate/mate_util.c	how	VM	5	VM	CJ	VM	VM
