name	context	language		grammar pattern	split	Count	Notes	final_axial_code	Christian Axial Code	Eman Axial Code	Syreen Axial Code
toIndex	DECLARATION	Java	https://github.com/igniterealtime/Openfire/blob/25ed0d66f9c56f423f9408920ce7d8734dcaf84d/xmppserver/src/main/java/org/jivesoftware/openfire/ldap/LdapManager.java	P N	to Index	70	This represents the end of a range that should be used to create a sublist from a larger list, called results. The fromIndex variable nearby represents the start of the range, and toIndex is the end of the range.	Data Movement / Transfer	Data Movement / Transfer	Data Movement / Transfer	Data Movement / Transfer
toSchema	FUNCTION	Java	https://github.com/apache/drill/blob/f558815feb6560ebbc3d1fcf502acee8fea1e555/contrib/format-deltalake/src/main/java/org/apache/drill/exec/store/delta/DeltaGroupScan.java	P N	to Schema	70	This variable is a function that converts a StructType into a TupleMetadata object, which probably represents an executable schema. The word 'to expresses transformation, or conversion, from one type to another. It transforms between representations.	Type Casting / Interpretation	Type Casting / Interpretation	Type Casting / Interpretation	Type Casting / Interpretation
toTime	PARAMETER	Java	https://github.com/dropwizard/metrics/blob/d6cf6a4e8f6e65a0b6107be6d8d73e00f0d95efa/metrics-core/src/main/java/com/codahale/metrics/SlidingTimeWindowMovingAverages.java	P N	to Time	70	This variable is a time-based upper bound, a point in time up to which the function should sum values from a set of buckets. The word 'to' affirms the temporal boundary. It expresses the point in time up to which we include data.	Position / Ordering in Time / Space / Execution Context	Position / Ordering in Time / Space / Execution Context	Position / Ordering in Time / Space / Execution Context	Position / Ordering in Time / Space / Execution Context
toYaml	FUNCTION	Java	https://github.com/deeplearning4j/deeplearning4j/blob/854c3b264d6d392ecd1b09c386d919e3c74cb425/deeplearning4j/deeplearning4j-core/src/main/java/org/deeplearning4j/core/listener/HardwareMetric.java	P N	to Yaml	70	This variable is a method that converts an object into a YAML string using yamlMapper.writeValueAsString(this). The word 'to' is used in th transformational sense, where it is transforming the object into YAML.	Type Casting / Interpretation	Type Casting / Interpretation	Type Casting / Interpretation	Type Casting / Interpretation
withCharset	DECLARATION	Java	https://github.com/google/guava/blob/551f92130cc0442870569b89820e0b432a8ff8f7/android/guava/src/com/google/common/net/MediaType.java	P N	with Charset	70	This variable is a function that returns a new copy of an existing mediaType object except the given charset has been applied. For example, it might return a MediateType with its charset parameter set to utf-8. The word 'with' expresses configuration or inclusion, for example 'give me a version of this media type that includes this charset'.	Operation Basis / Strategy	Operation Basis / Strategy	Operation Basis / Strategy	Operation Basis / Strategy
withConf	FUNCTION	Java	https://github.com/apache/drill/blob/f558815feb6560ebbc3d1fcf502acee8fea1e555/exec/java-exec/src/main/java/org/apache/drill/exec/store/parquet/ParquetReaderConfig.java	P N	with Conf	70	This variable represents a function that is assigning a new Configuration object to this.conf. It returns the calling object except it uses a different configuration, so the 'with' represents inclusion or configuration.	Operation Basis / Strategy	Operation Basis / Strategy	Operation Basis / Strategy	Operation Basis / Strategy
withIndex	ATTRIBUTE	Java	https://github.com/apache/drill/blob/f558815feb6560ebbc3d1fcf502acee8fea1e555/exec/java-exec/src/main/java/org/apache/drill/exec/record/TypedFieldId.java	P N	with Index	70	This variable is a flag that seems to indicate whether the current object has an index	Boolean Flow / Control Flag x Operation Basis / Strategy	Boolean Flow / Control Flag	Boolean Flow / Control Flag	Boolean Flow / Control Flag
withSystem	PARAMETER	C++	https://github.com/vgvassilev/cling/blob/5e3310ac045d5763cd9852359d1003f3850c2a0c/lib/Interpreter/Interpreter.cpp	P N	with System	70	This variable is a boolean that determines whether system include paths should be considered. The word 'with' expresses inclusion or configuration.	Boolean Flow / Control Flag x Operation Basis / Strategy	Boolean Flow / Control Flag	Boolean Flow / Control Flag	Boolean Flow / Control Flag
afterFirstBatch	ATTRIBUTE	Java	https://github.com/apache/drill/blob/f558815feb6560ebbc3d1fcf502acee8fea1e555/exec/jdbc/src/main/java/org/apache/drill/jdbc/impl/DrillCursor.java	P NM N	after First Batch	31	This variable keeps track of whether the first batch has been processed. It helps the system skip spurious empty patches (with zero rows and null data) other than the first one. So 'after' helps specify a time, or point, during processing when the first batch has been processed.	Position / Ordering in Time / Space / Execution Context	Position / Ordering in Time / Space / Execution Context	Position / Ordering in Time / Space / Execution Context	Position / Ordering in Time / Space / Execution Context
afterLastRow	ATTRIBUTE	Java	https://github.com/apache/drill/blob/f558815feb6560ebbc3d1fcf502acee8fea1e555/exec/jdbc/src/main/java/org/apache/drill/jdbc/impl/DrillCursor.java	P NM N	after Last Row	31	This variable is a boolean that keeps track of whether the cursor has moved past the last record in the dataset. The word 'after' helps specify a time, or point, during processing when the last row has been processed.	Boolean Flow / Control Flag x Position / Ordering in Time / Space / Execution Context	Boolean Flow / Control Flag x Position / Ordering in Time / Space / Execution Context	Boolean Flow / Control Flag x Position / Ordering in Time / Space / Execution Context	Boolean Flow / Control Flag x Position / Ordering in Time / Space / Execution Context
as_array_parameter	FUNCTION	C++	https://github.com/panda3d/panda3d/blob/07f9f9d89722a82234e0d111e61b7ff98e88e2db/direct/src/dcparser/dcArrayParameter.cxx	P NM N	as array parameter	31	This variable indicates that this object is an array parameter, and returns a pointer to itself cast as DCArrayParameter. In polymorphic code, this helps test if the object actually is an array parameter. The 'as' reflects role transformation rather than data conversion. Viewing or interpreting the object in a different type context. 'Treat this obejct as an array parameter, if possible'	Type Casting / Interpretation	Type Casting / Interpretation	Type Casting / Interpretation	Type Casting / Interpretation
as_bounding_box	FUNCTION	C++	https://github.com/panda3d/panda3d/blob/07f9f9d89722a82234e0d111e61b7ff98e88e2db/panda/src/mathutil/boundingVolume.cxx	P NM N	as bounding box	31	This variable is a function that helps with casting (object conversion). In essence, it allows the code to check and reinterpret subclasses during runtime. The word 'as' indicates the interpretation or view of the object as a specific thing, in this case a bounding_box.	Type Casting / Interpretation	Type Casting / Interpretation	Type Casting / Interpretation	Type Casting / Interpretation
as_function_type	FUNCTION	C++	https://github.com/panda3d/panda3d/blob/07f9f9d89722a82234e0d111e61b7ff98e88e2db/dtool/src/cppparser/cppTypeProxy.cxx	P NM N	as function type	31	This function provides a reference to the underlying actual type if it is a CPPFunctionType. It returns nullptr if the actual_type is null. The use of 'as' indicates interpretation or view of the calling object as a particular data type.	Type Casting / Interpretation	Type Casting / Interpretation	Type Casting / Interpretation	Type Casting / Interpretation
as_molecular_field	FUNCTION	C++	https://github.com/panda3d/panda3d/blob/07f9f9d89722a82234e0d111e61b7ff98e88e2db/direct/src/dcparser/dcField.cxx	P NM N	as molecular field	31	This function helps with casting an object, allowing the code to check and reinterpret subclasses during runtime. The word 'as' indicates the act of interpreting or viewing the object as a particular data type.	Type Casting / Interpretation	Type Casting / Interpretation	Type Casting / Interpretation	Type Casting / Interpretation
as_simple_parameter	FUNCTION	C++	https://github.com/panda3d/panda3d/blob/07f9f9d89722a82234e0d111e61b7ff98e88e2db/direct/src/dcparser/dcParameter.cxx	P NM N	as simple parameter	31	This variable is a function that returns a pointer to DCSimpleParameter if the object is of that type. It alows the code to check and reinterpret subclasses during runtime, returning nullptr if it cannot be cast. The use of 'as' indicates interpretation or view of the calling object as a particular data type.	Type Casting / Interpretation	Type Casting / Interpretation	Type Casting / Interpretation	Type Casting / Interpretation
asCString	FUNCTION	C++	https://github.com/freeminer/freeminer/blob/86caf1cfbdf3d06f53981adaedc6f1eba7448486/lib/jsoncpp/jsoncpp.cpp	P NM N	as C String	31	This variable represents a function that return a c-string representation of the stored value. It is a reinterpretation or acess of the underlying, internal representation. It gives direct access to the char pointer. The use of 'as' represents reinterpretation or access, since in this case it is primarily stripping away the rest of the object and returning he CString.	Type Casting / Interpretation	Type Casting / Interpretation	Type Casting / Interpretation	Type Casting / Interpretation
behind_rem_start	DECLARATION	C++	https://github.com/s3fs-fuse/s3fs-fuse/blob/5371cd1468c84423729c334ac997f9621b797e9f/src/fdcache_fdinfo.cpp	P NM N	behind rem start	31	This variable represents a calculated offset for the remaining untreated area after upload operation. It pinpoints any untreated data that comes after the boundary-aligned upload range. The use of 'behind' indicates a spatial sense of file/data layout, indicating something that lies after the current region.	Position / Ordering in Time / Space / Execution Context	Position / Ordering in Time / Space / Execution Context	Position / Ordering in Time / Space / Execution Context	Position / Ordering in Time / Space / Execution Context
forSocks4Proxy	FUNCTION	Java	https://github.com/igniterealtime/Smack/blob/19b20fefeca69cccc3637e01ec2f151a054a3351/smack-core/src/main/java/org/jivesoftware/smack/proxy/ProxyInfo.java	P NM N	for Socks4 Proxy	31	This variable constructs a proxyInfor instance specifically for SOCKS4 proxy. The use of 'for' indicates the intended use or suitability-- that is, it indicates that it is configuring the object that it returns to work specifically with the SOCKS4 proxy	Purpose / Role Annotation	Purpose / Role Annotation	Purpose / Role Annotation	Purpose / Role Annotation
forUnknownSchema	PARAMETER	Java	https://github.com/apache/drill/blob/f558815feb6560ebbc3d1fcf502acee8fea1e555/exec/java-exec/src/main/java/org/apache/drill/exec/store/easy/json/loader/FieldDefn.java	P NM N	for Unknown Schema	31	This variable is helping to build or adapt a schema definition for the case when the overall schema is unknown. It's a boolean variable that adjusts the schema being created. The use of 'for' helps indicate its purpose or target context-- in this case, when the schema is unknown.	Boolean Flow / Control Flag x Purpose / Role Annotation	Operation Basis / Strategy	Operation Basis / Strategy	Boolean Flow / Control Flag x Purpose / Role Annotation
fromDockerConfig	ATTRIBUTE	Java	https://github.com/HubSpot/Singularity/blob/15688f486fc9286878eff40b51789c88bd6899d5/SingularityExecutor/src/main/java/com/hubspot/singularity/executor/config/SingularityExecutorDockerAuthConfig.java	P NM N	from Docker Config	31	This variable is a boolean that holds the state of whether the configuration comes from a Docker config file. The use of 'from' specifies a source-destination relationship. When the variable is true, the source is a DockerConfig.	Boolean Flow / Control Flag x Data Source / Origin	Boolean Flow / Control Flag x Data Source / Origin	Boolean Flow / Control Flag x Data Source / Origin	Boolean Flow / Control Flag x Data Source / Origin
fromRoomFilter	ATTRIBUTE	Java	https://github.com/igniterealtime/Smack/blob/19b20fefeca69cccc3637e01ec2f151a054a3351/smack-experimental/src/main/java/org/jivesoftware/smackx/muclight/MultiUserChatLight.java	P NM N	from Room Filter	31	This variable is a filter that matches stanzas sent from a groupchat or one of the occupants of a groupchat. The 'from' specifies a source-destination relationship, where the source of the stanzas is the groupchat or groupchat occupants.	Data Source / Origin	Data Source / Origin	Data Source / Origin	Data Source / Origin
in_best_path	ATTRIBUTE	C++	https://github.com/igraph/rigraph/blob/cae1f110975e38353a8fbbe16d4c7a008fbd9bea/src/core/isomorphism/bliss/graph.cc	P NM N	in best path	31	This variable is a boolean being used in a graph processing algorithm. It indicates whether the current_node is in the best path based on some criteria over the graph structure. The use of 'in' helps affirm that the processes is on the best path through the graph.	Boolean Flow / Control Flag x Membership / Peer Grouping	Boolean Flow / Control Flag x Membership / Peer Grouping	Boolean Flow / Control Flag x Membership / Peer Grouping	Boolean Flow / Control Flag x Membership / Peer Grouping
in_neighbour_heap	ATTRIBUTE	C++	https://github.com/igraph/rigraph/blob/cae1f110975e38353a8fbbe16d4c7a008fbd9bea/src/core/isomorphism/bliss/partition.hh	P NM N	in neighbour heap	31	This variable helps indicate whether a partition cell is present in a neighbor heap, which is probably a reference to the heap data structure. The use of 'in' indicates a general location, that the data is inside of another place.	Membership / Peer Grouping	Membership / Peer Grouping	Membership / Peer Grouping	Membership / Peer Grouping
inEclipseCompiler	ATTRIBUTE	Java	https://github.com/immutables/immutables/blob/28ba97e9f3075902e279c1cde3e16be01e365afb/generator-processor/src/org/immutables/generator/processor/Introspection.java	P NM N	in Eclipse Compiler	31	This variable is a boolean flag used to detect if annotation processing is being run under the eclipse compiler. The use of 'in' implies the environment or context being operated in-- specificaly, that we are using, or within, the eclipse compiler. It's like saying that processing is in a certain mode.	Boolean Flow / Control Flag x Position / Ordering in Time / Space / Execution Context	Boolean Flow / Control Flag x Position / Ordering in Time / Space / Execution Context	Boolean Flow / Control Flag x Position / Ordering in Time / Space / Execution Context	Boolean Flow / Control Flag x Position / Ordering in Time / Space / Execution Context
inMemCount	PARAMETER	Java	https://github.com/apache/drill/blob/f558815feb6560ebbc3d1fcf502acee8fea1e555/exec/java-exec/src/main/java/org/apache/drill/exec/physical/impl/xsort/SortMemoryManager.java	P NM N	in Mem Count	31	This variable tracks the number of incoming batches currently held in memory. The use of 'in' helps specify a general location-- that the batches are being held in memory.	Position / Ordering in Time / Space / Execution Context	Position / Ordering in Time / Space / Execution Context	Position / Ordering in Time / Space / Execution Context	Position / Ordering in Time / Space / Execution Context
inOuterList	ATTRIBUTE	Java	https://github.com/apache/drill/blob/f558815feb6560ebbc3d1fcf502acee8fea1e555/exec/java-exec/src/main/java/org/apache/drill/exec/store/easy/json/reader/BaseJsonReader.java	P NM N	in Outer List	31	This variable is a boolean that tracks whether the reader is currently inside an outer list while processing JSON data. It is true when the reader is currently in a situation where it is unwrapping an outer list. The use of 'in' indicates a general location, or state, within an outerList	Boolean Flow / Control Flag x Position / Ordering in Time / Space / Execution Context	Boolean Flow / Control Flag x Position / Ordering in Time / Space / Execution Context	Boolean Flow / Control Flag x Position / Ordering in Time / Space / Execution Context	Boolean Flow / Control Flag x Position / Ordering in Time / Space / Execution Context
on_query_string	ATTRIBUTE	C	https://github.com/liuliu/ccv/blob/3eb1664f88e04515bf6861663c4f96d6279a47f5/serve/ebb_request_parser.h	P NM N	on query string	31	This variable represents a call back, which is called under a specific trigger. The use of 'on' indicates the use of event-driven behavior, and implies a trigger of some kind that causes the callback to be used	Event Callback / Trigger	Event Callback / Trigger	Event Callback / Trigger	Event Callback / Trigger
on_request_response	FUNCTION	C	https://github.com/liuliu/ccv/blob/3eb1664f88e04515bf6861663c4f96d6279a47f5/serve/serve.c	P NM N	on request response	31	This variable is a callback that is invoked when a response is ready for a request. The use of 'on' reflects event-driven behavior and implies a trigger of some kind that causes the callback to be used.	Event Callback / Trigger	Event Callback / Trigger	Event Callback / Trigger	Event Callback / Trigger
onIngressError	FUNCTION	C++	https://github.com/facebook/proxygen/blob/5370e58851d6b363f1edbc542a0daa369ebbf303/proxygen/lib/http/connpool/SessionHolder.cpp	P NM N	on Ingress Error	31	This variable represents a callback. It is triggered on a particualr type of error. The use of 'on' reflects event-driven behavior and implies a trigger that causes the callback to be used.	Event Callback / Trigger	Event Callback / Trigger	Event Callback / Trigger	Event Callback / Trigger
onResponseContent	FUNCTION	Java	https://github.com/dropwizard/metrics/blob/d6cf6a4e8f6e65a0b6107be6d8d73e00f0d95efa/metrics-jetty10/src/main/java/io/dropwizard/metrics/jetty10/InstrumentedHttpChannelListener.java	P NM N	on Response Content	31	This variable is a function that represents an event listener / callback. It triggers when certain content is received, although this method is empty. The use of 'on' reflects event-driven behavior and implies a trigger that causes the callback to be used.	Event Callback / Trigger	Event Callback / Trigger	Event Callback / Trigger	Event Callback / Trigger
onServerSide	PARAMETER	C++	https://github.com/toggl-open-source/toggldesktop/blob/013038304ee8e9154db4a45fb642716956cf153b/third_party/poco/NetSSL_OpenSSL/src/PrivateKeyPassphraseHandler.cpp	P NM N	on Server Side	31	This variable stores whether the PrivateKeyPassphraseHandler is operating on the server side. It is a boolean, and thus is asking a question about whether something is on the server side or not. In this context, on is very much communicating a location or execution context.	Boolean Flow / Control Flag x Operation Basis / Strategy	Boolean Flow / Control Flag x Operation Basis / Strategy	Boolean Flow / Control Flag x Operation Basis / Strategy	Boolean Flow / Control Flag x Operation Basis / Strategy
onShutdownRequest	FUNCTION	Java	https://github.com/apache/drill/blob/f558815feb6560ebbc3d1fcf502acee8fea1e555/drill-yarn/src/main/java/org/apache/drill/yarn/appMaster/Dispatcher.java	P NM N	on Shutdown Request	31	This variable is a function that represents and event listener / callback. It triggers when a shutdown request is made. The use of 'on' reflects event-driven behavior and implies a trigger that causes the callback to be used	Event Callback / Trigger	Event Callback / Trigger	Event Callback / Trigger	Event Callback / Trigger
to_copy_list	DECLARATION	C++	https://github.com/s3fs-fuse/s3fs-fuse/blob/5371cd1468c84423729c334ac997f9621b797e9f/src/fdcache_entity.cpp	P NM N	to copy list	31	This variable represents a list of file parts that can be copied from an existing S3 object instead of being re-uploaded. In other words, it represents things that should be processed in a particular way (copying as upposed to reuploading) 	Deferred Processing / Pending Action	Deferred Processing / Pending Action	Deferred Processing / Pending Action	Deferred Processing / Pending Action
toBareJID	FUNCTION	Java	https://github.com/igniterealtime/Openfire/blob/25ed0d66f9c56f423f9408920ce7d8734dcaf84d/xmppserver/src/main/java/org/jivesoftware/openfire/group/GroupJID.java	P NM N	to Bare JID	31	This variable is a function that returns a string version of a JID for the calling object. The use of 'to' implies transformation or interpretation of some object as another type or format.	Type Casting / Interpretation	Type Casting / Interpretation	Type Casting / Interpretation	Type Casting / Interpretation
toFieldList	FUNCTION	Java	https://github.com/apache/drill/blob/f558815feb6560ebbc3d1fcf502acee8fea1e555/exec/vector/src/main/java/org/apache/drill/exec/record/metadata/TupleSchema.java	P NM N	to Field List	31	This variable is a function that converts a ColumnMetadata collection to MaterializedField collection. The use of 'to' implies the conversion or interpretation of an object from one type to another.	Type Casting / Interpretation	Type Casting / Interpretation	Type Casting / Interpretation	Type Casting / Interpretation
toSnapshotId	ATTRIBUTE	Java	https://github.com/apache/drill/blob/f558815feb6560ebbc3d1fcf502acee8fea1e555/contrib/format-iceberg/src/main/java/org/apache/drill/exec/store/iceberg/format/IcebergFormatPluginConfig.java	P NM N	to Snapshot Id	31	This variable represents the ending snaptshot id for a scan in Apache Iceberg. The fromSnapshotId is the starting point and the toSnapshotId is the ending point. You can specify a range of snapshots using these	Data Movement / Transfer	Data Movement / Transfer	Data Movement / Transfer	Data Movement / Transfer
toSortFn	DECLARATION	Java	https://github.com/immutables/immutables/blob/28ba97e9f3075902e279c1cde3e16be01e365afb/criteria/mongo/src/org/immutables/criteria/mongo/AggregationQuery.java	P NM N	to Sort Fn	31	This variable represents a function that performs a transformation from a Collation to a Bson object. 'to' is a reference to the fact that it is producing a sort clause-- a function for sorting. This function will perform a transformation. Not the best name, but the use of to is consistent with prior examples.	Type Casting / Interpretation	Type Casting / Interpretation	Type Casting / Interpretation	Type Casting / Interpretation
withSchemaBuilder	FUNCTION	Java	https://github.com/apache/drill/blob/f558815feb6560ebbc3d1fcf502acee8fea1e555/exec/java-exec/src/main/java/org/apache/drill/exec/record/BatchSchemaBuilder.java	P NM N	with Schema Builder	31	This variable is a function that modifies the internal state by updating the schemaBuilder field. It adds or modifies or changes the schembuilder. The use of 'with' expresses configuration or inclusion.	Operation Basis / Strategy	Operation Basis / Strategy	Operation Basis / Strategy	Operation Basis / Strategy
withUnaryOperator	ATTRIBUTE	Java	https://github.com/immutables/immutables/blob/28ba97e9f3075902e279c1cde3e16be01e365afb/value-processor/src/org/immutables/value/processor/meta/Styles.java	P NM N	with Unary Operator	31	This variable applies the withUnaryOperator function from the scheme object and returns the result of apply. So it is applying some kind of transformation via a unary operator. The use of 'with' in this case seems to imply transformation or configuration; transforming data using a unary operator.	Operation Basis / Strategy	Operation Basis / Strategy	Type Casting / Interpretation	Operation Basis / Strategy
afterProcessing	ATTRIBUTE	Java	https://github.com/immutables/immutables/blob/28ba97e9f3075902e279c1cde3e16be01e365afb/generator/src/org/immutables/generator/EnvironmentState.java	P V	after Processing	13	This variable holds a map of tasks that should be executing after the processing phase is complete. The word 'after' marks a temporal order. This map is relevant after some event has occurred-- after processing has ended.	Position / Ordering in Time / Space / Execution Context	Position / Ordering in Time / Space / Execution Context	Position / Ordering in Time / Space / Execution Context	Position / Ordering in Time / Space / Execution Context
asCaching	FUNCTION	Java	https://github.com/immutables/immutables/blob/28ba97e9f3075902e279c1cde3e16be01e365afb/value-processor/src/org/immutables/value/processor/meta/CachingElements.java	P V	as Caching	13	This variable is a static conversion method. If the element is already a caching wrapper, return it. Otherwise, wrap it in a Caching object. The use of 'as' signals that this is an interpreation of an object, and in this case it is enhancing or adding to the object in some way. This could also be considered a different view of an object.	Type Casting / Interpretation	Type Casting / Interpretation	Type Casting / Interpretation	Type Casting / Interpretation
beforeExecute	FUNCTION	Java	https://github.com/cglib/cglib/blob/5c947539c1218dc4ff1a14a7c36b4856b0ee6397/cglib/src/main/java/net/sf/cglib/transform/AbstractProcessTask.java	P V	before Execute	13	This variable is a function that handles things that must happen before the execute function begins processing files. The use of 'before' indicates a temporal relationship where it contains actions that have to be taken temporally before another set of actions.	Position / Ordering in Time / Space / Execution Context	Position / Ordering in Time / Space / Execution Context	Position / Ordering in Time / Space / Execution Context	Position / Ordering in Time / Space / Execution Context
to_merge	DECLARATION	C++	https://github.com/meta-toolkit/meta/blob/c7019401185cdfa15e1193aad821894c35a83e3f/include/meta/index/postings_inverter.tcc	P V	to merge	13	This variable collects file paths for merging. The use of 'to' indicates that these have not been processed yet and needs to be processed at some point in the future. It helps the programmer understand the intent of the items inside of this collection; they need to be merged at some point.	Deferred Processing / Pending Action	Deferred Processing / Pending Action	Deferred Processing / Pending Action	Deferred Processing / Pending Action
to_write	DECLARATION	C++	https://github.com/meta-toolkit/meta/blob/c7019401185cdfa15e1193aad821894c35a83e3f/src/embeddings/tools/glove.cpp	P V	to write	13	This variable determines how many records to write from each chunk. It holds the number of records that should be read from a given chunk j, to be appended to the current output buffer. The records are then written to several output partitions. This contains records that need to be written-- the 'to' expresses intent, that these are going to be written out.	Deferred Processing / Pending Action	Deferred Processing / Pending Action	Deferred Processing / Pending Action	Deferred Processing / Pending Action
toAggregate	DECLARATION	Java	https://github.com/apache/drill/blob/f558815feb6560ebbc3d1fcf502acee8fea1e555/exec/java-exec/src/main/java/org/apache/drill/exec/work/filter/RuntimeFilterSink.java	P V	to Aggregate	13	This variables holds the data to that will be aggregated or is designated for aggregation. The use of 'to' emphasizes where the object stands in its lifecycle-- before aggregation. It also emphasizes intent, that this data will be aggregated.	Deferred Processing / Pending Action	Deferred Processing / Pending Action	Deferred Processing / Pending Action	Deferred Processing / Pending Action
toAlloc	PARAMETER	Java	https://github.com/apache/drill/blob/f558815feb6560ebbc3d1fcf502acee8fea1e555/exec/java-exec/src/main/java/org/apache/drill/exec/physical/resultSet/impl/SingleVectorState.java	P V	to Alloc	13	This variable represents a valuvector whose purpose is to allocate space. It is used to invoke allocation methods. The use of to indicates an intent to perform allocation.	Deferred Processing / Pending Action	Deferred Processing / Pending Action	Deferred Processing / Pending Action	Deferred Processing / Pending Action
toConsume	PARAMETER	C++	https://github.com/facebook/proxygen/blob/5370e58851d6b363f1edbc542a0daa369ebbf303/proxygen/lib/http/session/HQSession.cpp	P V	to Consume	13	This variable represents how many bytes should be consumed from the stream. The use of 'to' indicates intention; that this number represents the number of bytes the consume at the appropriate time in the (presumably near) future.	Deferred Processing / Pending Action	Deferred Processing / Pending Action	Deferred Processing / Pending Action	Deferred Processing / Pending Action
toDelete	FUNCTION	Java	https://github.com/apache/drill/blob/f558815feb6560ebbc3d1fcf502acee8fea1e555/metastore/iceberg-metastore/src/main/java/org/apache/drill/metastore/iceberg/transform/OperationTransformer.java	P V	to Delete	13	This variable represents data(filters) that are slated to be deleted. The use of 'to' indicates intent or purpose; that the items being returned by this function need to be deleted.	Deferred Processing / Pending Action	Deferred Processing / Pending Action	Deferred Processing / Pending Action	Deferred Processing / Pending Action
toLaunch	DECLARATION	Java	https://github.com/HubSpot/Singularity/blob/15688f486fc9286878eff40b51789c88bd6899d5/SingularityService/src/main/java/com/hubspot/singularity/mesos/SingularityOfferHolder.java	P V	to Launch	13	This variable represents a list of tasks that will be launched. The use of 'to' indicates intent or purpose; that the items in this list need to be launched.	Deferred Processing / Pending Action	Deferred Processing / Pending Action	Deferred Processing / Pending Action	Deferred Processing / Pending Action
toMerge	PARAMETER	Java	https://github.com/apache/drill/blob/f558815feb6560ebbc3d1fcf502acee8fea1e555/exec/java-exec/src/main/java/org/apache/parquet/hadoop/ParquetFileWriter.java	P V	to Merge	13	This variable describes the metadata that will be merged. The use of 'to' indicates intent or purpose; an operation that will take place in the future, or is slated to take place in the future.	Deferred Processing / Pending Action	Deferred Processing / Pending Action	Deferred Processing / Pending Action	Deferred Processing / Pending Action
toRegister	PARAMETER	Java	https://github.com/apache/drill/blob/f558815feb6560ebbc3d1fcf502acee8fea1e555/exec/java-exec/src/main/java/org/apache/drill/exec/planner/physical/explain/NumberingRelWriter.java	P V	to Register	13	This variable represents an operator placed inside of the sourceOperatorRegistry as part of the process of being registred. The use of 'to' indicates intent or purpose; the objects in this collection will need to be registered at some point in the future	Deferred Processing / Pending Action	Deferred Processing / Pending Action	Deferred Processing / Pending Action	Deferred Processing / Pending Action
toVisit	ATTRIBUTE	Java	https://github.com/immutables/immutables/blob/28ba97e9f3075902e279c1cde3e16be01e365afb/criteria/common/src/org/immutables/criteria/reflect/LazyClassScanner.java	P V	to Visit	13	This variable maintains a queue of classes that still need to be visited. The use of 'to' indicates intent or purpose; the objects in this list need to be visited	Deferred Processing / Pending Action	Deferred Processing / Pending Action	Deferred Processing / Pending Action	Deferred Processing / Pending Action
buffer_as_string	ATTRIBUTE	C	https://github.com/weechat/weechat/blob/13241cdca5b39415d2a0f9e1b55a79153d14ba07/src/plugins/irc/irc-channel.h	N P N	buffer as string	12	This variable is a c-string representation of the buffer. The use of 'as' indicates an interpretation or transformation of an entity to whatever it is to be represented as, in this case it's a c-string.	Type Casting / Interpretation	Type Casting / Interpretation	Type Casting / Interpretation	Type Casting / Interpretation
end_of_record	FUNCTION	C	https://github.com/ropensci/git2r/blob/9c42d41c14cf83735db37ae662e2bce42c500aaa/src/libgit2/src/libgit2/refdb_fs.c	N P N	end of record	12	This variable is a function that finds the end of a packed-ref record. The word 'of' helps contextualize what 'end' refers to. Specifically, the record.	Position / Ordering in Time / Space / Execution Context	Position / Ordering in Time / Space / Execution Context	Position / Ordering in Time / Space / Execution Context	Position / Ordering in Time / Space / Execution Context
friend_in_close	FUNCTION	C	https://github.com/irungentoo/toxcore/blob/bf69b54f64003d160d759068f4816b2d9b2e1e21/toxcore/group.c	N P N	friend in close	12	This variable is a function that finds the index of a friend in a special list (the close list). The word 'in' helps specify a location to contextualize the behavior of the function	Position / Ordering in Time / Space / Execution Context	Position / Ordering in Time / Space / Execution Context	Position / Ordering in Time / Space / Execution Context	Position / Ordering in Time / Space / Execution Context
im2col	PARAMETER	C++	https://github.com/BVLC/caffe/blob/9b891540183ddc834a02b2bd81b31afae71b2153/src/caffe/util/im2col.cpp	N P N	im 2 col	12	This variable handles transformations for images to columns. The 2 behaves like the preposition 'to', which is common for code that deals with transformations or translations between data structures or configurations	Type Casting / Interpretation	Type Casting / Interpretation	Type Casting / Interpretation	Type Casting / Interpretation
message_after_mod	ATTRIBUTE	C	https://github.com/weechat/weechat/blob/13241cdca5b39415d2a0f9e1b55a79153d14ba07/src/plugins/irc/irc-server.h	N P N	message after mod	12	This variable represents a c-string, message, after modifications have been applied, tracking the state of the message at a particular stage of processing. The word 'after' provides temporal context for the formatting or state of the message; it is the message after applied modifications.	Position / Ordering in Time / Space / Execution Context	Position / Ordering in Time / Space / Execution Context	Position / Ordering in Time / Space / Execution Context	Position / Ordering in Time / Space / Execution Context
ptr_to_handle	FUNCTION	C++	https://github.com/BVLC/caffe/blob/9b891540183ddc834a02b2bd81b31afae71b2153/matlab/+caffe/private/caffe_.cpp	N P N	ptr to handle	12	This variable is a function that converts a c++ pointer into a MATLAB handle. The 'to' indicates this conversion.	Type Casting / Interpretation	Type Casting / Interpretation	Type Casting / Interpretation	Type Casting / Interpretation
size_from_ipv4	DECLARATION	C	https://github.com/openvswitch/ovs/blob/f5188ff2147517612b410ed607e3843cdf4b51a6/lib/dpif-netdev-extract-avx512.c	N P N	size from ipv4	12	This variable represents the number of bites remaining after the IPV4 header begins; it's the size of the payload. The us eof 'from' is spatial, in that it expresses an offset-- the size of the data starting at the IPV4 header.	Data Source / Origin	Data Source / Origin	Data Source / Origin	Data Source / Origin
