name	context	language	url	split	grammar pattern	Count	notes	split_words	final_axial_code_role	final_axial_code_meaning	Review Status	Christian Axial Code Role	Christian Axial Code Meaning	Syreen Axial Code Role	Syreen Axial Code Meaning	Anthony Axial Code Role	Anthony Axial Code Meaning
m31	ATTRIBUTE	C++	https://github.com/freeminer/freeminer/blob/86caf1cfbdf3d06f53981adaedc6f1eba7448486/src/mandelbulber/algebra.hpp	m 31	N D	125	the row and column of a matrix  - matrix algebra - numbers are specification	['m', '31']	Distinguisher	Locally Specific Concept	Agree	Distinguisher	Locally Specific Concept	Distinguisher	Locally Specific Concept	Distinguisher	Locally Specific Concept
m33	ATTRIBUTE	C++	https://github.com/freeminer/freeminer/blob/86caf1cfbdf3d06f53981adaedc6f1eba7448486/src/mandelbulber/algebra.hpp	m 33	N D	125	the row and column of a matrix  - matrix algebra - numbers are specification	['m', '33']	Distinguisher	Locally Specific Concept	Agree	Distinguisher	Locally Specific Concept	Distinguisher	Locally Specific Concept	Distinguisher	Locally Specific Concept
merged1	ATTRIBUTE	C++	https://github.com/deeplearning4j/deeplearning4j/blob/854c3b264d6d392ecd1b09c386d919e3c74cb425/libnd4j/include/ops/declarable/helpers/cpu/summaryReductions.hpp	merged 1	N D	125	distinguisher	['merged', '1']	Distinguisher	Human-Named Convention	Agree	Distinguisher	Human-Named Convention	Distinguisher	Human-Named Convention	Distinguisher	Human-Named Convention
merged3	ATTRIBUTE	C++	https://github.com/deeplearning4j/deeplearning4j/blob/854c3b264d6d392ecd1b09c386d919e3c74cb425/libnd4j/include/ops/declarable/helpers/cpu/summaryReductions.hpp	merged 3	N D	125	distinguisher	['merged', '3']	Distinguisher	Human-Named Convention	Agree	Distinguisher	Human-Named Convention	Distinguisher	Human-Named Convention	Distinguisher	Human-Named Convention
mid1	DECLARATION	C++	https://github.com/freeminer/freeminer/blob/86caf1cfbdf3d06f53981adaedc6f1eba7448486/src/client/sky.cpp	mid 1	N D	125	This variable is part of code for graphics rendering. It's helping with the calculation for the horizontal position of the sunreise/set glow of a skybox. The 1 is a distinguisher.	['mid', '1']	Distinguisher	Human-Named Convention	Agree	Distinguisher	Human-Named Convention	Distinguisher	Human-Named Convention	Distinguisher	Human-Named Convention
n3	DECLARATION	C++	https://github.com/freeminer/freeminer/blob/86caf1cfbdf3d06f53981adaedc6f1eba7448486/src/mapgen/mapgen_v6.cpp	n 3	N D	125	3 is a distinguisher/index for the node (n). There are other nodes (n2) in the code	['n', '3']	Distinguisher	Human-Named Convention	Agree	Distinguisher	Human-Named Convention	Distinguisher	Human-Named Convention	Distinguisher	Human-Named Convention
name1	PARAMETER	C++	https://github.com/meta-toolkit/meta/blob/c7019401185cdfa15e1193aad821894c35a83e3f/src/parser/state_analyzer.cpp	name 1	N D	125	distinguisher -- represents one of two names	['name', '1']	Distinguisher	Human-Named Convention	Agree	Distinguisher	Human-Named Convention	Distinguisher	Human-Named Convention	Distinguisher	Human-Named Convention
node2	PARAMETER	C++	https://github.com/panda3d/panda3d/blob/07f9f9d89722a82234e0d111e61b7ff98e88e2db/panda/src/pgraph/sceneGraphReducer.cxx	node 2	N D	125	used as a distinguisher -- there are two identifiers with the same name	['node', '2']	Distinguisher	Human-Named Convention	Agree	Distinguisher	Human-Named Convention	Distinguisher	Human-Named Convention	Distinguisher	Human-Named Convention
noise2	PARAMETER	C++	https://github.com/freeminer/freeminer/blob/86caf1cfbdf3d06f53981adaedc6f1eba7448486/src/mapgen/mapgen_carpathian.cpp	noise 2	N D	125	2 is a distinguisher/index for noise.  It does a calculation involving two noise values (1 & 2)	['noise', '2']	Distinguisher	Human-Named Convention	Agree	Distinguisher	Human-Named Convention	Distinguisher	Human-Named Convention	Distinguisher	Human-Named Convention
o2	PARAMETER	Java	https://github.com/igniterealtime/Openfire/blob/25ed0d66f9c56f423f9408920ce7d8734dcaf84d/xmppserver/src/main/java/org/jivesoftware/openfire/muc/MultiUserChatManager.java	o 2	N D	125	used as a distinguisher; there is an o1 which it is 'compared' against	['o', '2']	Distinguisher	Human-Named Convention	Agree	Distinguisher	Human-Named Convention	Distinguisher	Human-Named Convention	Distinguisher	Human-Named Convention
obj0	DECLARATION	C++	https://github.com/panda3d/panda3d/blob/07f9f9d89722a82234e0d111e61b7ff98e88e2db/panda/src/bullet/bulletWorld.cxx	obj 0	N D	125	used as a distinguisher -- there are two identifiers with the same name represents a pointer to a collision object in the Bullet Physics engine	['obj', '0']	Distinguisher	Human-Named Convention	Agree	Distinguisher	Human-Named Convention	Distinguisher	Human-Named Convention	Distinguisher	Human-Named Convention
odx1	DECLARATION	C	https://github.com/igraph/rigraph/blob/cae1f110975e38353a8fbbe16d4c7a008fbd9bea/src/core/layout/davidson_harel.c	odx 1	N D	125	identifier used as part of a graph drawing function; represents the distance from the old x-coordinate , making it a specification number "1" in the name refers to the first border 	['odx', '1']	Distinguisher	Locally Specific Concept	Agree	Distinguisher	Locally Specific Concept	Distinguisher	Locally Specific Concept	Distinguisher	Locally Specific Concept
OF1515	CLASS	Java	https://github.com/igniterealtime/Openfire/blob/25ed0d66f9c56f423f9408920ce7d8734dcaf84d/xmppserver/src/main/java/org/jivesoftware/database/bugfix/OF1515.java	OF 1515	N D	125	The number represents an issue/bug id. The class name is the name of the issue id, so the numbers are a form of specification	['OF', '1515']	Distinguisher	Locally Specific Concept	Agree	Distinguisher	Locally Specific Concept	Distinguisher	Locally Specific Concept	Distinguisher	Locally Specific Concept
p2	DECLARATION	Java	https://github.com/igniterealtime/Openfire/blob/25ed0d66f9c56f423f9408920ce7d8734dcaf84d/xmppserver/src/main/java/org/jivesoftware/admin/AdminConsole.java	p 2	N D	125	distinguisher	['p', '2']	Distinguisher	Human-Named Convention	Agree	Distinguisher	Human-Named Convention	Distinguisher	Human-Named Convention	Distinguisher	Human-Named Convention
pad0_	ATTRIBUTE	C++	https://github.com/panda3d/panda3d/blob/07f9f9d89722a82234e0d111e61b7ff98e88e2db/dtool/src/dtoolbase/ptmalloc2_smp_src.cxx	pad 0	N D	125	The "0" might represent the first (or zeroth) padding element in the structure. Its used as part of a cache optimization technique. The 0 is a specification number	['pad', '0']	Distinguisher	Human-Named Convention	Agree	Distinguisher	Human-Named Convention	Distinguisher	Human-Named Convention	Distinguisher	Human-Named Convention
pad2	ATTRIBUTE	C	https://github.com/openvswitch/ovs/blob/f5188ff2147517612b410ed607e3843cdf4b51a6/include/openflow/openflow-1.0.h	pad 2	N D	125	used as a distinguisher	['pad', '2']	Distinguisher	Human-Named Convention	Agree	Distinguisher	Human-Named Convention	Distinguisher	Human-Named Convention	Distinguisher	Human-Named Convention
part3	DECLARATION	Java	https://github.com/google/guava/blob/551f92130cc0442870569b89820e0b432a8ff8f7/guava/src/com/google/common/hash/FarmHashFingerprint64.java	part 3	N D	125	represents the third 8-byte chunk of data from the input byte array, making it a distinguisher	['part', '3']	Distinguisher	Human-Named Convention	Agree	Distinguisher	Human-Named Convention	Distinguisher	Human-Named Convention	Distinguisher	Human-Named Convention
pointer1	PARAMETER	C	https://github.com/weechat/weechat/blob/13241cdca5b39415d2a0f9e1b55a79153d14ba07/src/core/hook/wee-hook-command.c	pointer 1	N D	125	the digit in this variable is a distinguisher, to distinguish it from other variables with similar names.	['pointer', '1']	Distinguisher	Human-Named Convention	Agree	Distinguisher	Human-Named Convention	Distinguisher	Human-Named Convention	Distinguisher	Human-Named Convention
price2	DECLARATION	C	https://github.com/mgba-emu/mgba/blob/c8cfaefcc880e668b0db8ba5f8b49978f0d108fd/src/third-party/lzma/LzmaEnc.c	price 2	N D	125	its used as a distinguisher, but it's really a temp variable. should have used a better name (maybe combinedPrice?)	['price', '2']	Distinguisher	Human-Named Convention	Agree	Distinguisher	Human-Named Convention	Distinguisher	Human-Named Convention	Distinguisher	Human-Named Convention
ptr1	PARAMETER	C++	https://github.com/facebook/proxygen/blob/5370e58851d6b363f1edbc542a0daa369ebbf303/proxygen/lib/dns/Rfc6724.cpp	ptr 1	N D	125	used as a distinguisher --  pointers to the elements being compared in the array that's being sorted. used in a implementation of RFC 6724	['ptr', '1']	Distinguisher	Human-Named Convention	Agree	Distinguisher	Human-Named Convention	Distinguisher	Human-Named Convention	Distinguisher	Human-Named Convention
ptr2	PARAMETER	C++	https://github.com/facebook/proxygen/blob/5370e58851d6b363f1edbc542a0daa369ebbf303/proxygen/lib/dns/Rfc6724.cpp	ptr 2	N D	125	used as a distinguisher -- there are two identifiers with the same name	['ptr', '2']	Distinguisher	Human-Named Convention	Agree	Distinguisher	Human-Named Convention	Distinguisher	Human-Named Convention	Distinguisher	Human-Named Convention
q1	PARAMETER	C++	https://github.com/apache/drill/blob/f558815feb6560ebbc3d1fcf502acee8fea1e555/contrib/native/client/src/clientlib/drillClientImpl.hpp	q 1	N D	125	the digit in this variable is a distinguisher, to distinguish it from other variables with similar names.	['q', '1']	Distinguisher	Human-Named Convention	Agree	Distinguisher	Human-Named Convention	Distinguisher	Human-Named Convention	Distinguisher	Human-Named Convention
q2	PARAMETER	C++	https://github.com/apache/drill/blob/f558815feb6560ebbc3d1fcf502acee8fea1e555/contrib/native/client/src/clientlib/drillClientImpl.hpp	q 2	N D	125	the digit in this variable is a distinguisher, to distinguish it from other variables with similar names.	['q', '2']	Distinguisher	Human-Named Convention	Agree	Distinguisher	Human-Named Convention	Distinguisher	Human-Named Convention	Distinguisher	Human-Named Convention
r14	ATTRIBUTE	C	https://github.com/fakeNetflix/facebook-repo-ds2/blob/eaf83c59b8fff11cc4c218da7b78a983754727ec/Headers/DebugServer2/Architecture/X86_64/CPUState.h	r 14	N D	125	This variable represents register 14 in the cpu processor, making it a specification	['r', '14']	Distinguisher	Locally Specific Concept	Agree	Distinguisher	Locally Specific Concept	Distinguisher	Locally Specific Concept	Distinguisher	Locally Specific Concept
r8	ATTRIBUTE	C	https://github.com/fakeNetflix/facebook-repo-ds2/blob/eaf83c59b8fff11cc4c218da7b78a983754727ec/Headers/DebugServer2/Architecture/ARM/CPUState.h	r 8	N D	125	register 8 in the cpu processor, making the number a specification	['r', '8']	Distinguisher	Locally Specific Concept	Agree	Distinguisher	Locally Specific Concept	Distinguisher	Locally Specific Concept	Distinguisher	Locally Specific Concept
rank0	PARAMETER	C++	https://github.com/BVLC/caffe/blob/9b891540183ddc834a02b2bd81b31afae71b2153/src/caffe/parallel.cpp	rank 0	N D	125	the 0  indicates that this is the primary worker. The 0 is a domain number due to its use in parallel computing domain.	['rank', '0']	Distinguisher	Technology Term / Standard	Agree	Distinguisher	Technology Term / Standard	Distinguisher	Technology Term / Standard	Distinguisher	Technology Term / Standard
result2	DECLARATION	Java	https://github.com/apache/drill/blob/f558815feb6560ebbc3d1fcf502acee8fea1e555/exec/java-exec/src/main/java/org/apache/drill/exec/physical/resultSet/impl/ProjectionFilter.java	result 2	N D	125	the digit in this variable is a distinguisher, to distinguish it from other variables with similar names.	['result', '2']	Distinguisher	Human-Named Convention	Agree	Distinguisher	Human-Named Convention	Distinguisher	Human-Named Convention	Distinguisher	Human-Named Convention
rgb2	DECLARATION	Java	https://github.com/igniterealtime/Smack/blob/19b20fefeca69cccc3637e01ec2f151a054a3351/smack-jingle-old/src/main/java/org/jivesoftware/smackx/jingleold/mediaimpl/sshare/api/QuantizeFilter.java	rgb 2	N D	125	This variable represents the nearest quantized color-- an approximated color from a reduced color palette that matches rgb1. This is mostly a distinguisher, though some other categories mildly fit here.	['rgb', '2']	Distinguisher	Human-Named Convention	Agree	Distinguisher	Human-Named Convention	Distinguisher	Human-Named Convention	Distinguisher	Human-Named Convention
rmu0	ATTRIBUTE	C	https://github.com/igraph/rigraph/blob/cae1f110975e38353a8fbbe16d4c7a008fbd9bea/src/vendor/cigraph/vendor/glpk/draft/glpipm.c	rmu 0	N D	125	The "0" in the name indicates that this is the value of rmu at iteration 0 (the starting point). This initial value is saved to track progress during the optimization process. The 0 is a specification number.	['rmu', '0']	Distinguisher	Locally Specific Concept	Agree	Distinguisher	Locally Specific Concept	Distinguisher	Locally Specific Concept	Distinguisher	Locally Specific Concept
root1	ATTRIBUTE	C	https://github.com/panda3d/panda3d/blob/07f9f9d89722a82234e0d111e61b7ff98e88e2db/panda/src/mathutil/triangulator.h	root 1	N D	125	used as a distinguisher -- there are two identifiers with the same name	['root', '1']	Distinguisher	Human-Named Convention	Agree	Distinguisher	Human-Named Convention	Distinguisher	Human-Named Convention	Distinguisher	Human-Named Convention
row2	DECLARATION	C++	https://github.com/panda3d/panda3d/blob/07f9f9d89722a82234e0d111e61b7ff98e88e2db/pandatool/src/maxegg/maxToEggConverter.cxx	row 2	N D	125	represents the third row of a transformation matrix, making it a distinguisher	['row', '2']	Distinguisher	Locally Specific Concept	Disagree	Distinguisher	Human-Named Convention	Distinguisher	Locally Specific Concept	Distinguisher	Locally Specific Concept
s1	DECLARATION	C++	https://github.com/meta-toolkit/meta/blob/c7019401185cdfa15e1193aad821894c35a83e3f/src/parser/state_analyzer.cpp	s 1	N D	125	represents the second item on the stack, making the number a distinguisher	['s', '1']	Distinguisher	Locally Specific Concept	Disagree	Distinguisher	Human-Named Convention	Distinguisher	Locally Specific Concept	Distinguisher	Locally Specific Concept
sbox4	DECLARATION	Java	https://github.com/igniterealtime/Openfire/blob/25ed0d66f9c56f423f9408920ce7d8734dcaf84d/xmppserver/src/main/java/org/jivesoftware/util/Blowfish.java	sbox 4	N D	125	used as a distinguisher. one of four one of four substitution boxes required for the Blowfish encryption algorithm's structure.	['sbox', '4']	Distinguisher	Locally Specific Concept	Disagree	Distinguisher	Human-Named Convention	Distinguisher	Locally Specific Concept	Distinguisher	Locally Specific Concept
Server1	ATTRIBUTE	C	https://github.com/wireshark/wireshark/blob/13f21ebd59317f59b91ce7a48a234ef48989ccf0/epan/dissectors/packet-afs.c	Server 1	N D	125	the digit in this variable is a distinguisher, to distinguish it from other variables with similar names.	['Server', '1']	Distinguisher	Human-Named Convention	Agree	Distinguisher	Human-Named Convention	Distinguisher	Human-Named Convention	Distinguisher	Human-Named Convention
sock4	DECLARATION	C	https://github.com/irungentoo/toxcore/blob/bf69b54f64003d160d759068f4816b2d9b2e1e21/toxcore/LAN_discovery.c	sock 4	N D	125	The digit in this variable is a domain number, indicating that the variable is being used in the context of ipv4, and thus providing the programmer with needed context to make sure they use and interpret the variable's purpose properly.	['sock', '4']	Version Identifier	Technology Term / Standard	Agree	Version Identifier	Technology Term / Standard	Version Identifier	Technology Term / Standard	Version Identifier	Technology Term / Standard
src1	PARAMETER	C	https://github.com/openvswitch/ovs/blob/f5188ff2147517612b410ed607e3843cdf4b51a6/include/openvswitch/flow.h	src 1	N D	125	distinguisher -- represents the first source operand in binary operations	['src', '1']	Distinguisher	Human-Named Convention	Agree	Distinguisher	Human-Named Convention	Distinguisher	Human-Named Convention	Distinguisher	Human-Named Convention
src2	PARAMETER	C	https://github.com/ropensci/git2r/blob/9c42d41c14cf83735db37ae662e2bce42c500aaa/src/libgit2/deps/regex/regex_internal.c	src 2	N D	125	2 is a distinguisher.There is another parameter called src1	['src', '2']	Distinguisher	Human-Named Convention	Agree	Distinguisher	Human-Named Convention	Distinguisher	Human-Named Convention	Distinguisher	Human-Named Convention
sum2	DECLARATION	C	https://github.com/igraph/rigraph/blob/cae1f110975e38353a8fbbe16d4c7a008fbd9bea/src/core/misc/graphicality.c	sum 2	N D	125	used as a distinguisher -- calculates the sum of all degrees in the first sequence; there are two sequences the code deals with graph theory algorithms	['sum', '2']	Distinguisher	Human-Named Convention	Agree	Distinguisher	Human-Named Convention	Distinguisher	Human-Named Convention	Distinguisher	Human-Named Convention
t3	DECLARATION	Java	https://github.com/immutables/immutables/blob/28ba97e9f3075902e279c1cde3e16be01e365afb/criteria/common/src/org/immutables/criteria/repository/Mappers.java	t 3	N D	125	represents the third value from a tuple, making it a distinguisher	['t', '3']	Distinguisher	Locally Specific Concept	Disagree	Distinguisher	Human-Named Convention	Distinguisher	Locally Specific Concept	Distinguisher	Locally Specific Concept
target1	ATTRIBUTE	C	https://github.com/mgba-emu/mgba/blob/c8cfaefcc880e668b0db8ba5f8b49978f0d108fd/include/mgba/internal/gba/renderers/gl.h	target 1	N D	125	distinguisher -- represents one of two targets	['target', '1']	Distinguisher	Human-Named Convention	Agree	Distinguisher	Human-Named Convention	Distinguisher	Human-Named Convention	Distinguisher	Human-Named Convention
ts1	PARAMETER	C++	https://github.com/s3fs-fuse/s3fs-fuse/blob/5371cd1468c84423729c334ac997f9621b797e9f/src/cache.cpp	ts 1	N D	125	used as a distinguisher -- there are two timespec parameters the function compares two timestamps	['ts', '1']	Distinguisher	Human-Named Convention	Agree	Distinguisher	Human-Named Convention	Distinguisher	Human-Named Convention	Distinguisher	Human-Named Convention
ts2	PARAMETER	C++	https://github.com/s3fs-fuse/s3fs-fuse/blob/5371cd1468c84423729c334ac997f9621b797e9f/src/cache.cpp	ts 2	N D	125	used as a distinguisher -- there are two timespec parameters the function compares two timestamps	['ts', '2']	Distinguisher	Human-Named Convention	Agree	Distinguisher	Human-Named Convention	Distinguisher	Human-Named Convention	Distinguisher	Human-Named Convention
type2	PARAMETER	Java	https://github.com/apache/drill/blob/f558815feb6560ebbc3d1fcf502acee8fea1e555/common/src/main/java/org/apache/drill/common/types/Types.java	type 2	N D	125	the digit in this variable is a distinguisher, to distinguish it from other variables with similar names.	['type', '2']	Distinguisher	Human-Named Convention	Agree	Distinguisher	Human-Named Convention	Distinguisher	Human-Named Convention	Distinguisher	Human-Named Convention
unknown20	DECLARATION	C++	https://github.com/vgvassilev/cling/blob/5e3310ac045d5763cd9852359d1003f3850c2a0c/lib/Interpreter/IncrementalCUDADeviceCompiler.cpp	unknown 20	N D	125	20 is the offset (0x20) in the binary structure. due to incomplete/unavailable NVIDIA documentation, the offset number is used instead of the correct name. This is a specification number	['unknown', '20']	Distinguisher	Locally Specific Concept	Agree	Distinguisher	Locally Specific Concept	Distinguisher	Locally Specific Concept	Distinguisher	Locally Specific Concept
unknown24	DECLARATION	C++	https://github.com/vgvassilev/cling/blob/5e3310ac045d5763cd9852359d1003f3850c2a0c/lib/Interpreter/IncrementalCUDADeviceCompiler.cpp	unknown 24	N D	125	24 is the offset (0x24) in the binary structure. due to incomplete/unavailable NVIDIA documentation, the offset number is used instead of the correct name. This is a specification number	['unknown', '24']	Distinguisher	Locally Specific Concept	Agree	Distinguisher	Locally Specific Concept	Distinguisher	Locally Specific Concept	Distinguisher	Locally Specific Concept
v00	PARAMETER	C++	https://github.com/freeminer/freeminer/blob/86caf1cfbdf3d06f53981adaedc6f1eba7448486/src/noise.cpp	v 00	N D	125	The digit represent a coordinate position in the noise lattice (i.e., grid cell); it is a specification number v00 = value at (x₀, y₀) = bottom-left corner	['v', '00']	Distinguisher	Locally Specific Concept	Agree	Distinguisher	Locally Specific Concept	Distinguisher	Locally Specific Concept	Distinguisher	Locally Specific Concept
V1	ATTRIBUTE	C++	https://github.com/igraph/rigraph/blob/cae1f110975e38353a8fbbe16d4c7a008fbd9bea/src/core/community/walktrap/walktrap_graph.cpp	V 1	N D	125	used as a distinguisher -- there are two identifiers with the same name	['V', '1']	Distinguisher	Human-Named Convention	Agree	Distinguisher	Human-Named Convention	Distinguisher	Human-Named Convention	Distinguisher	Human-Named Convention
v110	PARAMETER	C++	https://github.com/freeminer/freeminer/blob/86caf1cfbdf3d06f53981adaedc6f1eba7448486/src/noise.cpp	v 110	N D	125	The digit represent a coordinate position in the noise lattice (i.e., grid cell); it is a specification number v00 = value at (x₀, y₀) = bottom-left corner	['v', '110']	Distinguisher	Locally Specific Concept	Agree	Distinguisher	Locally Specific Concept	Distinguisher	Locally Specific Concept	Distinguisher	Locally Specific Concept
V2	ATTRIBUTE	C++	https://github.com/igraph/rigraph/blob/cae1f110975e38353a8fbbe16d4c7a008fbd9bea/src/core/community/walktrap/walktrap_graph.cpp	V 2	N D	125	used as a distinguisher -- there are two identifiers with the same name	['V', '2']	Distinguisher	Human-Named Convention	Agree	Distinguisher	Human-Named Convention	Distinguisher	Human-Named Convention	Distinguisher	Human-Named Convention
v5	PARAMETER	Java	https://github.com/google/guava/blob/551f92130cc0442870569b89820e0b432a8ff8f7/guava-gwt/src-super/com/google/common/collect/super/com/google/common/collect/ImmutableBiMap.java	v 5	N D	125	Distinguisher -- represents the key in a ImmutableBiMap	['v', '5']	Distinguisher	Human-Named Convention	Agree	Distinguisher	Human-Named Convention	Distinguisher	Human-Named Convention	Distinguisher	Human-Named Convention
value6	PARAMETER	C++	https://github.com/toggl-open-source/toggldesktop/blob/013038304ee8e9154db4a45fb642716956cf153b/third_party/poco/Foundation/src/Format.cpp	value 6	N D	125	the digit in this variable is a distinguisher, to distinguish it from other variables with similar names.	['value', '6']	Distinguisher	Human-Named Convention	Agree	Distinguisher	Human-Named Convention	Distinguisher	Human-Named Convention	Distinguisher	Human-Named Convention
vector1	PARAMETER	C++	https://github.com/apache/drill/blob/f558815feb6560ebbc3d1fcf502acee8fea1e555/contrib/native/client/src/clientlib/utils.cpp	vector 1	N D	125	the digit in this variable is a distinguisher, to distinguish it from other variables with similar names.	['vector', '1']	Distinguisher	Human-Named Convention	Agree	Distinguisher	Human-Named Convention	Distinguisher	Human-Named Convention	Distinguisher	Human-Named Convention
vector2	PARAMETER	C++	https://github.com/apache/drill/blob/f558815feb6560ebbc3d1fcf502acee8fea1e555/contrib/native/client/src/clientlib/utils.cpp	vector 2	N D	125	the digit in this variable is a distinguisher, to distinguish it from other variables with similar names.	['vector', '2']	Distinguisher	Human-Named Convention	Agree	Distinguisher	Human-Named Convention	Distinguisher	Human-Named Convention	Distinguisher	Human-Named Convention
vid1	PARAMETER	C	https://github.com/igraph/rigraph/blob/cae1f110975e38353a8fbbe16d4c7a008fbd9bea/src/core/cliques/glet.c	vid 1	N D	125	The variable is short for vertex id, and probably represents a start offset, used as a base for zero-index normalization in vetex arrays. The 1 implies that it's the beginning of an offset or range. Thus the digit looks like a specification.	['vid', '1']	Distinguisher	Locally Specific Concept	Agree	Distinguisher	Locally Specific Concept	Distinguisher	Locally Specific Concept	Distinguisher	Locally Specific Concept
vv0	DECLARATION	Java	https://github.com/apache/drill/blob/f558815feb6560ebbc3d1fcf502acee8fea1e555/exec/java-exec/src/main/java/org/apache/drill/exec/physical/impl/common/HashTableTemplate.java	vv 0	N D	125	This variable represents a value vector and has the digit 0 at the end. It is retrieved by index from htContainer. The 0 here probably indicates index, but could also just be differentiating. It most likely is a specification for the first item in a 0-indexed value vector in a hash table container. Further vectors following this pattern would look like vv1, vv2, etc.	['vv', '0']	Distinguisher	Locally Specific Concept	Agree	Distinguisher	Locally Specific Concept	Distinguisher	Locally Specific Concept	Distinguisher	Locally Specific Concept
wc10	DECLARATION	C	https://github.com/openvswitch/ovs/blob/f5188ff2147517612b410ed607e3843cdf4b51a6/lib/ofp-table.c	wc 10	N D	125	10 represents the version number of the software, "1.0" the identifier represents a wildcard	['wc', '10']	Version Identifier	Technology Term / Standard	Agree	Version Identifier	Technology Term / Standard	Version Identifier	Technology Term / Standard	Version Identifier	Technology Term / Standard
work1	ATTRIBUTE	C	https://github.com/igraph/rigraph/blob/cae1f110975e38353a8fbbe16d4c7a008fbd9bea/src/vendor/cigraph/vendor/glpk/api/mps.c	work 1	N D	125	used as a distinguisher -- pointer used for memory allocation; there are three working array pointers	['work', '1']	Distinguisher	Human-Named Convention	Agree	Distinguisher	Human-Named Convention	Distinguisher	Human-Named Convention	Distinguisher	Human-Named Convention
x4	ATTRIBUTE	C	https://github.com/fakeNetflix/facebook-repo-ds2/blob/eaf83c59b8fff11cc4c218da7b78a983754727ec/Headers/DebugServer2/Architecture/ARM64/CPUState.h	x 4	N D	125	register 4 in the cpu processor, making the number a specification	['x', '4']	Distinguisher	Locally Specific Concept	Agree	Distinguisher	Locally Specific Concept	Distinguisher	Locally Specific Concept	Distinguisher	Locally Specific Concept
x8	ATTRIBUTE	C	https://github.com/fakeNetflix/facebook-repo-ds2/blob/eaf83c59b8fff11cc4c218da7b78a983754727ec/Headers/DebugServer2/Architecture/ARM64/CPUState.h	x 8	N D	125	register 8 in the cpu processor, making the number a specification	['x', '8']	Distinguisher	Locally Specific Concept	Agree	Distinguisher	Locally Specific Concept	Distinguisher	Locally Specific Concept	Distinguisher	Locally Specific Concept
xdf2	PARAMETER	C	https://github.com/ropensci/git2r/blob/9c42d41c14cf83735db37ae662e2bce42c500aaa/src/libgit2/src/libgit2/xdiff/xprepare.c	xdf 2	N D	125	This is a diff and merge of content of two files. The 2 is a distinguisher for one file	['xdf', '2']	Distinguisher	Human-Named Convention	Agree	Distinguisher	Human-Named Convention	Distinguisher	Human-Named Convention	Distinguisher	Human-Named Convention
xe2	PARAMETER	C	https://github.com/ropensci/git2r/blob/9c42d41c14cf83735db37ae662e2bce42c500aaa/src/libgit2/src/libgit2/xdiff/xmerge.c	xe 2	N D	125	This is a diff and merge of content of two files. The 2 is a distinguisher for one file	['xe', '2']	Distinguisher	Human-Named Convention	Agree	Distinguisher	Human-Named Convention	Distinguisher	Human-Named Convention	Distinguisher	Human-Named Convention
YOLO2	CLASS	Java	https://github.com/deeplearning4j/deeplearning4j/blob/854c3b264d6d392ecd1b09c386d919e3c74cb425/deeplearning4j/deeplearning4j-zoo/src/main/java/org/deeplearning4j/zoo/model/YOLO2.java	YOLO 2	N D	125	version 2 of You Only Look Once (real-time object detection)	['YOLO', '2']	Version Identifier	Technology Term / Standard	Agree	Version Identifier	Technology Term / Standard	Version Identifier	Technology Term / Standard	Version Identifier	Technology Term / Standard
b1Index	PARAMETER	Java	https://github.com/apache/drill/blob/f558815feb6560ebbc3d1fcf502acee8fea1e555/exec/java-exec/src/main/java/org/apache/drill/exec/physical/impl/aggregate/StreamingAggTemplate.java	b 1 Index	N D N	9	the digit in this variable is a distinguisher, to distinguish it from other variables with similar names.	['b', '1', 'Index']	Distinguisher	Human-Named Convention	Agree	Distinguisher	Human-Named Convention	Distinguisher	Human-Named Convention	Distinguisher	Human-Named Convention
h2server	DECLARATION	C++	https://github.com/facebook/proxygen/blob/5370e58851d6b363f1edbc542a0daa369ebbf303/proxygen/httpserver/samples/hq/HQServerModule.cpp	h 2 server	N D N	9	The digit in this identifier is a reference to the fact that this handles HTTP2 requests. Thus, it's a version number.	['h', '2', 'server']	Version Identifier	Technology Term / Standard	Agree	Version Identifier	Technology Term / Standard	Version Identifier	Technology Term / Standard	Version Identifier	Technology Term / Standard
l4_ofs	ATTRIBUTE	C	https://github.com/openvswitch/ovs/blob/f5188ff2147517612b410ed607e3843cdf4b51a6/lib/dp-packet.h	l 4 ofs	N D N	9	this variable name stands for layer 4 offset and refers to the transfport layer header. The number 4 is the number of the layer, and so it's a specification.	['l', '4', 'ofs']	Distinguisher	Locally Specific Concept	Agree	Distinguisher	Locally Specific Concept	Distinguisher	Locally Specific Concept	Distinguisher	Locally Specific Concept
p2d	PARAMETER	C++	https://github.com/freeminer/freeminer/blob/86caf1cfbdf3d06f53981adaedc6f1eba7448486/src/mapgen/mapgen.cpp	p 2 d	N D N	9	The digit in this variable is a domain number, as the 2d part of p2d references the idea of 2-dimensional coordinate systems. The p is position.	['p', '2', 'd']	Distinguisher	Technology Term / Standard	Agree	Distinguisher	Technology Term / Standard	Distinguisher	Technology Term / Standard	Distinguisher	Technology Term / Standard
q0h	DECLARATION	C++	https://github.com/meta-toolkit/meta/blob/c7019401185cdfa15e1193aad821894c35a83e3f/src/parser/state_analyzer.cpp	q 0 h	N D N	9	The digit in this variable represents the position of an item in a queue. In this case, q0 is the first queue item and q0h is the head information of this item. So the 0 is an index.	['q', '0', 'h']	Distinguisher	Locally Specific Concept	Agree	Distinguisher	Locally Specific Concept	Distinguisher	Locally Specific Concept	Distinguisher	Locally Specific Concept
